slice,selected_modality,selected_candidate,unsupervised_score,iou_after_selection,area_ratio,contrast,edge_alignment,solidity,compactness,agreement,border_fraction
volume_51_slice_92.h5,modality_0,chan_vese_normal_component_1,1.005132,0.225786,0.245208,1.000000,1.000000,0.967621,0.714584,0.199772,0.000000
volume_354_slice_69.h5,modality_0,adaptive_31_5_inverted_component_2,1.003494,0.217382,0.235417,1.000000,1.000000,0.963384,0.687085,0.179721,0.000000
volume_153_slice_99.h5,modality_0,multi_otsu_class_1_normal_component_1,1.009111,0.000651,0.245885,1.000000,1.000000,0.982068,0.816745,0.236013,0.000000
volume_349_slice_110.h5,modality_0,random_walker_dark_inverted_component_1,1.008620,0.186245,0.231736,1.000000,1.000000,0.981201,0.827890,0.228807,0.000000
volume_326_slice_78.h5,modality_0,multi_otsu_class_1_normal_component_1,1.007861,0.015078,0.249688,1.000000,1.000000,0.980914,0.844484,0.214473,0.000000
volume_259_slice_77.h5,modality_0,random_walker_dark_inverted_component_1,1.006777,0.101728,0.243194,1.000000,1.000000,0.978562,0.831483,0.199859,0.000000
volume_296_slice_45.h5,modality_0,random_walker_dark_inverted_component_1,0.997868,0.227273,0.210069,1.000000,1.000000,0.911034,0.652083,0.224263,0.000000
volume_26_slice_104.h5,modality_0,multi_otsu_class_1_normal_component_1,1.005971,0.000489,0.231875,1.000000,1.000000,0.967543,0.706765,0.216799,0.000000
volume_204_slice_41.h5,modality_0,random_walker_dark_inverted_component_1,0.990298,0.003338,0.228819,1.000000,1.000000,0.868502,0.566427,0.200458,0.000000
volume_267_slice_76.h5,modality_0,adaptive_21_7_inverted_component_2,1.002006,0.068761,0.248611,1.000000,1.000000,0.949373,0.626375,0.192008,0.000000
volume_350_slice_68.h5,modality_0,adaptive_21_7_inverted_component_2,1.003330,0.102571,0.249410,1.000000,1.000000,0.954279,0.689314,0.203756,0.000000
volume_293_slice_97.h5,modality_0,adaptive_21_7_inverted_component_2,1.001057,0.334296,0.231944,1.000000,1.000000,0.948682,0.636878,0.175097,0.000000
volume_64_slice_67.h5,modality_0,multi_otsu_class_1_normal_component_1,1.001295,0.024197,0.219236,1.000000,1.000000,0.956790,0.697903,0.155524,0.000000
volume_335_slice_97.h5,modality_0,random_walker_dark_inverted_component_1,1.006746,0.107200,0.248594,1.000000,1.000000,0.975097,0.805720,0.209627,0.000000
volume_279_slice_82.h5,modality_0,adaptive_21_7_inverted_component_2,1.001382,0.142481,0.244809,1.000000,1.000000,0.956642,0.585246,0.157712,0.000000
volume_212_slice_74.h5,modality_0,adaptive_21_7_inverted_component_2,1.004201,0.101866,0.248750,1.000000,1.000000,0.967139,0.735547,0.182595,0.000000
volume_129_slice_78.h5,modality_0,multi_otsu_class_2_normal_component_1,0.986022,0.046584,0.223611,1.000000,1.000000,0.850540,0.255808,0.168810,0.000000
volume_305_slice_102.h5,modality_0,random_walker_dark_inverted_component_1,1.007106,0.209604,0.233906,1.000000,1.000000,0.975560,0.805925,0.215438,0.000000
