dataset,image,mask,modality,iou,choice
BUSI,malignant/malignant (6).png,malignant/malignant (6)_mask.png,none,0.117957,class_1_normal
BUSI,benign/benign (355).png,benign/benign (355)_mask.png,none,0.716727,class_0_normal
BUSI,benign/benign (104).png,benign/benign (104)_mask.png,none,0.866868,class_2_inverted
BUSI,benign/benign (246).png,benign/benign (246)_mask.png,none,0.632718,class_0_normal
BUSI,malignant/malignant (9).png,malignant/malignant (9)_mask.png,none,0.124451,class_1_normal
BUSI,benign/benign (412).png,benign/benign (412)_mask.png,none,0.495540,class_2_inverted
BUSI,malignant/malignant (75).png,malignant/malignant (75)_mask.png,none,0.557512,class_1_inverted
BUSI,benign/benign (242).png,benign/benign (242)_mask.png,none,0.186202,class_0_normal
BUSI,benign/benign (298).png,benign/benign (298)_mask.png,none,0.219490,class_2_normal
BUSI,benign/benign (409).png,benign/benign (409)_mask.png,none,0.561658,class_1_normal
BUSI,malignant/malignant (93).png,malignant/malignant (93)_mask.png,none,0.322647,class_0_normal
BUSI,benign/benign (184).png,benign/benign (184)_mask.png,none,0.182567,class_1_normal
BUSI,benign/benign (56).png,benign/benign (56)_mask.png,none,0.759121,class_0_normal
BUSI,benign/benign (189).png,benign/benign (189)_mask.png,none,0.131835,class_0_normal
BUSI,benign/benign (43).png,benign/benign (43)_mask.png,none,0.447966,class_0_normal
BUSI,benign/benign (416).png,benign/benign (416)_mask.png,none,0.172898,class_1_inverted
BUSI,benign/benign (342).png,benign/benign (342)_mask.png,none,0.406409,class_0_normal
BUSI,benign/benign (139).png,benign/benign (139)_mask.png,none,0.094179,class_0_normal
BUSI,malignant/malignant (129).png,malignant/malignant (129)_mask.png,none,0.444949,class_2_inverted
BUSI,malignant/malignant (20).png,malignant/malignant (20)_mask.png,none,0.294924,class_0_normal
BUSI,benign/benign (213).png,benign/benign (213)_mask.png,none,0.074779,class_0_inverted
BUSI,benign/benign (54).png,benign/benign (54)_mask.png,none,0.751216,class_0_normal
BUSI,benign/benign (171).png,benign/benign (171)_mask.png,none,0.599303,class_0_normal
BUSI,malignant/malignant (25).png,malignant/malignant (25)_mask.png,none,0.418586,class_2_inverted
BUSI,benign/benign (37).png,benign/benign (37)_mask.png,none,0.024211,class_0_normal
BUSI,benign/benign (432).png,benign/benign (432)_mask.png,none,0.805709,class_0_normal
BUSI,malignant/malignant (49).png,malignant/malignant (49)_mask.png,none,0.101734,class_1_normal
BUSI,benign/benign (276).png,benign/benign (276)_mask.png,none,0.250113,class_1_normal
BUSI,benign/benign (163).png,benign/benign (163)_mask.png,none,0.500164,class_0_normal
BUSI,benign/benign (140).png,benign/benign (140)_mask.png,none,0.372975,class_0_normal
BUSI,benign/benign (309).png,benign/benign (309)_mask.png,none,0.289182,class_1_inverted
BUSI,benign/benign (366).png,benign/benign (366)_mask.png,none,0.348763,class_0_normal
BUSI,benign/benign (172).png,benign/benign (172)_mask.png,none,0.061167,class_0_normal
BUSI,malignant/malignant (85).png,malignant/malignant (85)_mask.png,none,0.412428,class_0_normal
BUSI,benign/benign (192).png,benign/benign (192)_mask.png,none,0.677722,class_0_normal
BUSI,malignant/malignant (65).png,malignant/malignant (65)_mask.png,none,0.625772,class_0_normal
BUSI,malignant/malignant (70).png,malignant/malignant (70)_mask.png,none,0.069668,class_1_normal
BUSI,malignant/malignant (123).png,malignant/malignant (123)_mask.png,none,0.205805,class_2_inverted
BUSI,benign/benign (435).png,benign/benign (435)_mask.png,none,0.565195,class_0_normal
BUSI,benign/benign (249).png,benign/benign (249)_mask.png,none,0.111245,class_1_normal
BUSI,benign/benign (47).png,benign/benign (47)_mask.png,none,0.802459,class_2_inverted
BUSI,benign/benign (426).png,benign/benign (426)_mask.png,none,0.446020,class_0_inverted
BUSI,benign/benign (292).png,benign/benign (292)_mask.png,none,0.094897,class_1_normal
BUSI,benign/benign (345).png,benign/benign (345)_mask.png,none,0.070334,class_0_normal
BUSI,benign/benign (165).png,benign/benign (165)_mask.png,none,0.564655,class_0_normal
BUSI,benign/benign (257).png,benign/benign (257)_mask.png,none,0.183650,class_1_inverted
BUSI,malignant/malignant (198).png,malignant/malignant (198)_mask.png,none,0.337173,class_2_normal
BUSI,malignant/malignant (96).png,malignant/malignant (96)_mask.png,none,0.296598,class_1_normal
BUSI,benign/benign (25).png,benign/benign (25)_mask.png,none,0.768428,class_0_normal
BUSI,malignant/malignant (131).png,malignant/malignant (131)_mask.png,none,0.077169,class_0_normal
BUSI,benign/benign (55).png,benign/benign (55)_mask.png,none,0.047811,class_0_normal
BUSI,benign/benign (348).png,benign/benign (348)_mask.png,none,0.832706,class_2_inverted
BUSI,benign/benign (300).png,benign/benign (300)_mask.png,none,0.174564,class_0_normal
