image,mask,otsu_iou,otsu_choice,multi_otsu_iou,multi_otsu_choice,adaptive_iou,adaptive_choice,watershed_iou,watershed_choice,random_walker_iou,random_walker_choice,chan_vese_iou,chan_vese_choice,morphological_snakes_iou,morphological_snakes_choice
benign/benign (348).png,benign/benign (348)_mask.png,0.493940,inverted,0.832706,class_2_inverted,0.093769,normal,0.493940,normal,0.028077,dark_inverted,0.475383,normal,0.037124,inverted
benign/benign (300).png,benign/benign (300)_mask.png,0.151671,inverted,0.174564,class_0_normal,0.098501,inverted,0.151671,normal,0.161356,dark_normal,0.155172,normal,0.096769,normal
benign/benign (399).png,benign/benign (399)_mask.png,0.211267,inverted,0.312237,class_0_normal,0.138626,inverted,0.211267,normal,0.308267,dark_normal,0.212958,normal,0.139870,normal
benign/benign (150).png,benign/benign (150)_mask.png,0.536305,inverted,0.828954,class_0_normal,0.101918,normal,0.536305,normal,0.796675,dark_normal,0.709782,inverted,0.005473,normal
benign/benign (31).png,benign/benign (31)_mask.png,0.820452,inverted,0.778805,class_0_normal,0.440564,normal,0.820452,normal,0.695521,dark_normal,0.821084,normal,0.011473,inverted
malignant/malignant (89).png,malignant/malignant (89)_mask.png,0.210092,inverted,0.444961,class_1_normal,0.217046,inverted,0.210092,normal,0.322169,dark_inverted,0.170543,normal,0.220108,normal
benign/benign (390).png,benign/benign (390)_mask.png,0.802932,inverted,0.684750,class_2_inverted,0.113873,normal,0.802932,normal,0.356390,dark_normal,0.832935,normal,0.020912,normal
benign/benign (75).png,benign/benign (75)_mask.png,0.070790,inverted,0.234550,class_0_normal,0.041001,normal,0.070790,normal,0.071180,dark_normal,0.071336,normal,0.037270,normal
benign/benign (346).png,benign/benign (346)_mask.png,0.719298,inverted,0.699065,class_0_normal,0.068102,normal,0.719298,normal,0.701706,dark_normal,0.719794,normal,0.113482,inverted
benign/benign (16).png,benign/benign (16)_mask.png,0.880527,inverted,0.747837,class_0_normal,0.305250,normal,0.880527,normal,0.787124,dark_normal,0.879070,normal,0.009321,normal
benign/benign (294).png,benign/benign (294)_mask.png,0.123226,inverted,0.121199,class_0_normal,0.076084,inverted,0.123226,normal,0.087994,dark_normal,0.125140,normal,0.077777,normal
benign/benign (39).png,benign/benign (39)_mask.png,0.041096,inverted,0.049232,class_0_normal,0.068174,normal,0.041101,normal,0.044339,dark_normal,0.041163,normal,0.023469,normal
benign/benign (295).png,benign/benign (295)_mask.png,0.095564,inverted,0.776598,class_0_normal,0.067665,normal,0.095564,normal,0.108552,dark_normal,0.099963,normal,0.055662,normal
malignant/malignant (166).png,malignant/malignant (166)_mask.png,0.550218,inverted,0.367191,class_0_normal,0.034682,inverted,0.550218,normal,0.292490,dark_normal,0.530935,normal,0.036525,normal
benign/benign (70).png,benign/benign (70)_mask.png,0.651344,inverted,0.794218,class_0_normal,0.188464,normal,0.651344,normal,0.833828,dark_normal,0.748680,normal,0.011211,normal
malignant/malignant (128).png,malignant/malignant (128)_mask.png,0.368936,inverted,0.400636,class_2_inverted,0.341452,inverted,0.368996,normal,0.290632,dark_normal,0.359556,normal,0.333466,normal
benign/benign (230).png,benign/benign (230)_mask.png,0.295618,inverted,0.606182,class_1_normal,0.067964,normal,0.295618,normal,0.079016,dark_inverted,0.192571,normal,0.043617,normal
benign/benign (343).png,benign/benign (343)_mask.png,0.163052,inverted,0.180107,class_0_normal,0.080139,inverted,0.163052,normal,0.179369,dark_normal,0.158405,normal,0.077262,normal
malignant/malignant (94).png,malignant/malignant (94)_mask.png,0.307374,inverted,0.417359,class_0_normal,0.197837,inverted,0.307374,normal,0.346922,dark_normal,0.316042,normal,0.204795,normal
benign/benign (326).png,benign/benign (326)_mask.png,0.148199,inverted,0.923167,class_0_normal,0.103022,inverted,0.148199,normal,0.882432,dark_normal,0.149666,normal,0.623177,inverted
benign/benign (341).png,benign/benign (341)_mask.png,0.203155,inverted,0.309524,class_0_normal,0.147264,inverted,0.203155,normal,0.120501,dark_normal,0.194759,normal,0.171104,normal
malignant/malignant (10).png,malignant/malignant (10)_mask.png,0.691566,inverted,0.614458,class_0_normal,0.080775,normal,0.691566,normal,0.605139,dark_normal,0.726382,inverted,0.044981,inverted
benign/benign (73).png,benign/benign (73)_mask.png,0.447940,inverted,0.761238,class_1_inverted,0.238769,inverted,0.447940,normal,0.844425,dark_normal,0.448309,normal,0.199399,normal
malignant/malignant (53).png,malignant/malignant (53)_mask.png,0.079086,inverted,0.549020,class_1_normal,0.456869,normal,0.072056,normal,0.003496,dark_inverted,0.004659,inverted,0.120891,inverted
