image,mask,otsu_iou,otsu_choice,multi_otsu_iou,multi_otsu_choice,adaptive_iou,adaptive_choice,chan_vese_iou,chan_vese_choice,watershed_iou,watershed_choice
malignant (45).png,malignant (45)_mask.png,0.2193081662272088,inverted,0.21984932662381104,class_2_inverted,0.173196768134578,inverted,0.22067213048893175,normal,0.21939884230027115,normal
benign (382).png,benign (382)_mask.png,0.1829186192907603,inverted,0.3499015598970165,class_0_normal,0.13919925512104284,inverted,0.21591169038435962,normal,0.1829186192907603,normal
benign (342).png,benign (342)_mask.png,0.35517962506535217,inverted,0.40640915809193867,class_0_normal,0.27074420349381056,inverted,0.3666120776488807,inverted,0.35517962506535217,normal
benign (76).png,benign (76)_mask.png,0.6715757495707304,inverted,0.8409687526462867,class_0_normal,0.029226961157654226,normal,0.7363649550333623,inverted,0.6715757495707304,normal
benign (200).png,benign (200)_mask.png,0.18253869888257587,inverted,0.39512209069594556,class_0_normal,0.12195732289913098,inverted,0.18919196438394345,normal,0.18253869888257587,normal
benign (334).png,benign (334)_mask.png,0.4770809200728115,inverted,0.13337746152573227,class_0_normal,0.03259970213470131,normal,0.53632301836836,normal,0.4770809200728115,normal
malignant (61).png,malignant (61)_mask.png,0.3035271687321258,inverted,0.2859373123573916,class_0_normal,0.05498446091322018,normal,0.26967271574609714,normal,0.3035271687321258,normal
benign (41).png,benign (41)_mask.png,0.16352589323306088,inverted,0.16950414648293594,class_0_normal,0.09746548438031072,inverted,0.15882170455186417,normal,0.16352589323306088,normal
benign (311).png,benign (311)_mask.png,0.1445772533840622,normal,0.15940031821480166,class_1_inverted,0.12731783275229996,inverted,0.14381249367589297,inverted,0.1446824789594491,inverted
benign (30).png,benign (30)_mask.png,0.023492624016928705,inverted,0.02546009641969828,class_0_normal,0.11239035087719298,normal,0.024695672017514457,normal,0.023492624016928705,normal
benign (5).png,benign (5)_mask.png,0.7571968595521954,inverted,0.41009093575828687,class_0_normal,0.1683053788316946,normal,0.7021401348578129,normal,0.7571968595521954,normal
benign (299).png,benign (299)_mask.png,0.09535509374914213,normal,0.24919327918103928,class_1_normal,0.06177368843336698,inverted,0.11452242364505774,inverted,0.0954408543263965,inverted
malignant (191).png,malignant (191)_mask.png,0.04780626286041061,inverted,0.04402939031914297,class_1_normal,0.041222324659777355,inverted,0.047155089742207494,normal,0.047820424423504176,normal
benign (406).png,benign (406)_mask.png,0.21992394938700582,inverted,0.5084715759660126,class_0_normal,0.14076906354301205,inverted,0.22415669205658323,normal,0.21992394938700582,normal
benign (267).png,benign (267)_mask.png,0.1708858898591632,inverted,0.19715278927329913,class_0_normal,0.0909520062942565,normal,0.17640843976259282,normal,0.1708858898591632,normal
benign (369).png,benign (369)_mask.png,0.7600550017188037,inverted,0.5823210614838348,class_0_normal,0.12896641306364817,normal,0.755920820077766,normal,0.7637305699481866,normal
benign (64).png,benign (64)_mask.png,0.35382268714044135,inverted,0.4855855740884902,class_1_normal,0.4239026197637418,inverted,0.31464959026556966,inverted,0.35382268714044135,normal
benign (134).png,benign (134)_mask.png,0.8155864197530864,inverted,0.7507911392405063,class_0_normal,0.6115384615384616,normal,0.8264268960125097,normal,0.8155864197530864,normal
benign (414).png,benign (414)_mask.png,0.5201834053434441,normal,0.4300810756506959,class_0_inverted,0.2709773455235819,inverted,0.5039194056237809,normal,0.5215987810087505,inverted
malignant (58).png,malignant (58)_mask.png,0.3124469318627943,inverted,0.2985093782658917,class_0_normal,0.20461244089045733,inverted,0.3659851655688589,normal,0.3124469318627943,normal
benign (431).png,benign (431)_mask.png,0.266645753274253,inverted,0.7253948967193196,class_0_normal,0.3649334945586457,normal,0.29391833188531713,normal,0.266645753274253,normal
benign (42).png,benign (42)_mask.png,0.07406478695345295,normal,0.20771476099306363,class_1_normal,0.06023809943116778,inverted,0.09797052428122735,normal,0.0748710158486092,inverted
benign (332).png,benign (332)_mask.png,0.76906829382774,inverted,0.8179675222629649,class_0_normal,0.09349049022234128,normal,0.8116161616161616,normal,0.76906829382774,normal
benign (348).png,benign (348)_mask.png,0.49394014345782833,inverted,0.8327056250759325,class_2_inverted,0.09376927822331894,normal,0.47538347352795646,normal,0.49394014345782833,normal
benign (434).png,benign (434)_mask.png,0.22726607116708156,inverted,0.6483174944713406,class_1_inverted,0.15543065111821774,inverted,0.23297194807720356,normal,0.22711963684287598,normal
benign (175).png,benign (175)_mask.png,0.4294795127353267,inverted,0.5594008744999535,class_0_normal,0.05469160703365555,inverted,0.3923150282126679,normal,0.4294795127353267,normal
benign (235).png,benign (235)_mask.png,0.13324895920066612,inverted,0.12862483805293357,class_0_normal,0.08270183131862979,inverted,0.13399057581124887,normal,0.13324895920066612,normal
